ID	pheotype
HOCHN13FB01141205	1.6503383
HOCHN13FB01141216	0.980402573
HOCHN13FB01141218	0.896750417
HOCHN13FB01141222	1.29910151
HOCHN13FB01141227	0.788965258
HOCHN13FB01141228	1.275352082
HOCHN13FB01150104	0.903525327
HOCHN13FB01150111	0.760819561
HOCHN13FB01150114	0.925406188
HOCHN13FB01150122	0.931171049
HOCHN13FB01150133	1.145156575
HOCHN13FB01150207	2.091690083
HOCHN13FB01150212	1.062123336
HOCHN13FB01150216	1.360807772
HOCHN13FB01150234	0.684815799
HOCHN13FB01150303	1.028818553
HOCHN13FB01150304	1.686779154
HOCHN13FB01150306	0.901550911
HOCHN13FB01150307	1.035637162
HOCHN13FB01150309	0.986234257
HOCHN13FB01150403	2.585752813
HOCHN13FB01150410	0.791613444
HOCHN13FB01150412	1.964889311
HOCHN13FB01150413	0.68333764
HOCHN13FB01150503	0.835055215
HOCHN13FB01150504	0.575446043
HOCHN13FB01150505	1.465934368
HOCHN13FB01150508	0.641631079
HOCHN13FB01150510	0.843265997
HOCHN13FB01150512	0.96557278
HOCHN13FB01150515	1.256924884
HOCHN13FB01150522	0.945863059
HOCHN13FB01150608	0.821122822
HOCHN13FB01150612	1.103379872
HOCHN13FB01150630	0.888593893
HOCHN13FB01150632	1.083361604
HOCHN13FB01150633	1.432734978
HOCHN13FB01150636	1.233911868
HOCHN13FB01150637	0.64389309
HOCHN13FB01150638	0.886768103
HOCHN13FB01150708	1.470162087
HOCHN13FB01150713	2.157674965
HOCHN13FB01150717	1.255604756
HOCHN13FB01150720	1.426887155
HOCHN13FB01150722	1.306473958
HOCHN13FB01150733	1.261785222
HOCHN13FB01150735	1.330996902
HOCHN13FB01150736	0.905371752
HOCHN13FB01150803	1.327237099
HOCHN13FB01150805	0.862642566
HOCHN13FB01150806	0.897594572
HOCHN13FB01150814	0.933875154
HOCHN13FB01150818	0.750511387
HOCHN13FB01150819	1.013449752
HOCHN13FB01150822	1.333285317
HOCHN13FB01150830	1.057248339
HOCHN13FB01150831	1.096124619
HOCHN13FB01150832	-0.049982322
HOCHN13FB01150835	1.577513229
HOCHN13FB01150836	-0.035221603
HOCHN13FB01150902	0.830660037
HOCHN13FB01150915	1.419218049
HOCHN13FB01151002	0.615241676
HOCHN13FB01151005	0.965061695
HOCHN13FB01151006	1.1618497
HOCHN13FB01151008	1.274034547
HOCHN13FB01151015	0.764485342
HOCHN13FB01151020	0.502309037
HOCHN13FB01151103	0.884037013
HOCHN13FB01151104	1.055058661
HOCHN13FB01151109	0.790205143
